,18Dec2020,10May2021,distance_px
59,50f1d106-e14b-4800-8b0e-3f5f9c8b3426,c99ac74f-a39c-4e0e-ba93-325bd123b855,322.9133010577297
60,0f9aa6bc-4eae-40f7-8ebc-43360db63ea9,a6118281-8a8a-4b06-b04b-340a94e427f4,257.76006284915434
61,055b546f-0b51-4d8b-bbc2-b044c5ea91ee,93568ddc-3816-4052-bf54-2a14e30159d5,146.50085323983612
62,4b385e2d-d573-40be-8530-9ef01538eeba,39a65a91-b88e-4cca-87a6-2a396a115826,187.27653350059637
63,a486deb6-5c46-4f78-83fc-50e43e429bba,2c5023cd-725d-4cb4-8f3c-61ea624ed880,251.03187048659777
64,b8f830ce-df41-4bd0-b793-7742eaefb6f7,13907abb-29d6-4d83-bdf9-03063ec23d1b,203.05787352378138
65,56579600-1e7d-4ad4-a433-43b175c3f7d6,a6118281-8a8a-4b06-b04b-340a94e427f4,35.654592972014136
66,9c2074f6-ded2-4bfb-aad3-471b5c4c62e3,0bab7859-06a1-44c1-8e6c-f9dcf76c9393,197.12178976460214
67,06718b15-c806-49a3-9002-f50aec1f0048,adb56ff7-f198-4641-8d43-8103bf93e643,287.1780806398706
68,65c164ba-7387-40fc-aded-b4a5eed23063,19ae98ff-3467-43ad-ab0c-c279f6a601d7,236.99894514533182
69,6ae70944-9e51-464d-9343-cee2816de3dc,2120d65a-8612-4567-b5ee-f6960619495c,233.84022322945214
70,5b2ceb74-1b79-4907-b82f-0f603fee7c89,343eada3-6f83-4d0d-8ad0-819a7a259183,41.20982892466311
71,ce6c4133-cb68-41b4-ae38-9e5c66582406,2be4fea8-0fe7-4d2b-9889-08e708b3b37e,118.70657100598939
72,484472db-958c-4ce7-b705-a91fefcb6de5,1ea6e690-2996-40f2-a754-703a7bb805fb,112.65211937642363
73,8f3b5259-608c-4ed4-b69d-bb570b6fba3c,2120d65a-8612-4567-b5ee-f6960619495c,173.35296363200717
74,57fb7f16-ea08-429c-a93b-239ececb6291,a7ce2920-4650-4e04-bde0-a83c031aa89e,316.48380685273617
75,f60dfcea-02a2-437c-9cf2-59d3f34d9abb,3dfb1904-33de-47d9-96a8-3b3c6867324b,133.50093632630447
76,d741735d-5d58-45d8-89b4-1eb93832794e,8e5ecfcc-757e-407c-9485-62fd5ee200c3,46.013584950533904
77,8b77582d-ff0e-4fc9-9a55-7c8d1f7aa8e2,d5bbeb9e-85cd-46bf-ba47-6307d0c54fc6,358.52057123685387
78,6900277e-8a36-4f66-a321-557d421afe52,b66b7a52-7e5e-4ca5-bec3-9d433d49adfd,137.30440633861681
79,b4cc7e0a-a461-4ba8-a1b6-4f8ba34f66f9,f9da5e50-6bf5-4f5f-956a-3f42be784c10,238.5340646532482
80,38643538-49a8-4f4a-879d-de52028c845c,e6704d7f-f404-463c-aa22-f9b75554a014,183.0416619242734
