,minr,minc,maxr,maxc
436,5560,3588,5565,3592
437,5590,2352,5597,2354
438,5590,2456,5592,2457
439,5590,3575,5625,3606
440,5611,2391,5667,2476
441,5611,3529,5613,3531
442,5619,3543,5630,3552
443,5670,2386,5678,2390
444,5696,2401,5697,2410
445,5698,2314,5707,2322
446,5710,2393,5741,2446
447,5763,3958,5774,3961
448,5765,2407,6193,2708
449,5769,3578,5993,3747
450,5782,4214,5820,4230
451,5799,3903,5801,3904
452,5877,3890,6308,4211
453,5931,3104,5941,3115
454,5939,2883,6184,3166
455,5939,3914,5942,3915
456,5944,2944,5955,2954
457,5962,2911,5979,2948
458,5995,3171,5997,3175
459,6006,2832,6011,2838
460,6010,3027,6381,3397
461,6021,2767,6026,2768
462,6032,2768,6037,2773
463,6042,2797,6047,2807
464,6079,2852,6089,2861
465,6088,3097,6089,3100
466,6101,2442,6116,2453
467,6131,2414,6185,2471
468,6132,2297,6143,2299
469,6148,2300,6161,2301
470,6160,2490,6163,2498
471,6160,3551,6473,3953
472,6184,3774,6190,3785
473,6191,2631,6192,2644
474,6198,3002,6201,3013
475,6206,3475,6207,3477
476,6208,3386,6433,3563
477,6267,2761,6268,2762
478,6270,2633,6792,3107
479,6313,2605,6360,2646
480,6323,4104,6336,4123
481,6328,3045,6523,3198
482,6336,2448,6343,2449
483,6346,2453,6353,2464
484,6347,2284,6654,2650
485,6369,3228,6910,4009
486,6373,3409,6374,3412
487,6407,3453,6414,3457
488,6569,3261,6575,3267
489,6580,3254,6584,3258
490,6593,4083,6637,4097
491,6597,2529,6890,2806
492,6610,3005,6791,3224
493,6775,2861,7025,3039
494,6806,3054,7007,3234
495,6830,2697,7015,2876
496,6925,3237,7349,3801
497,7081,3820,7091,3830
498,7084,3854,7089,3857
499,7187,3774,7191,3778
500,7203,3753,7214,3763
