,10May2021,18Dec2020,distance_px
19,f24be184-8620-44e7-987b-7a4040d00456,922bbf4c-dc63-4d8e-aaf7-bc396d2d844e,203.8535013189619
20,53df3dcd-e2e5-4187-bb2d-86a5f227bc0d,08d01e1f-cd32-4be5-b1e2-c1de9bf918b4,149.65042599337966
21,2b9572d3-1128-42fc-9928-e9bcd7631b5c,14d6b7ba-4e0b-4790-ae9b-bd029d904fbc,81.21576201698781
22,89fa56ac-a220-4a9b-a5a2-c012c4fc51f7,922bbf4c-dc63-4d8e-aaf7-bc396d2d844e,431.40844915230855
23,0551cfa7-fe10-46c6-a915-4dc2aed6f383,c15b704a-ed08-4a48-914c-94d4588ce3ad,157.6586502542756
24,a074f0b7-d56a-49f5-8323-9327a8490da9,08d01e1f-cd32-4be5-b1e2-c1de9bf918b4,452.86642622300894
25,ba5d88f4-e858-4262-988f-3a6bb36d2986,5f172a40-e11c-49ac-bfab-503d4c3dfd60,204.03247290566273
26,3caf650d-9e48-4311-a93c-f2a1f331c4a6,c50582d1-ef45-4de3-8f13-3ccb9d5242c4,331.754804034546
27,5cdd1b2b-e138-4e67-a3a3-c351a741d81d,c50582d1-ef45-4de3-8f13-3ccb9d5242c4,329.11168317153374
28,04906f78-6dec-4b10-bfaf-cbe93d3d4dcf,b42c43c2-a2dc-4c1f-88ab-1dd2f9c67d13,164.47796204963143
29,bcac98d3-8a82-479e-8391-9d19f04e725c,c50582d1-ef45-4de3-8f13-3ccb9d5242c4,333.2604086896612
30,d9a6881f-80c6-4fdf-bbc8-6c1efbbb2cf6,b42c43c2-a2dc-4c1f-88ab-1dd2f9c67d13,446.1535610078664
31,fc78f31d-ab88-47c4-97e6-6e977c8e8f33,a32288d7-ef50-4eb9-9c4a-36714d93317d,204.5464494925297
32,5e77eb34-4c31-4830-90f6-dd0fe1f6448a,05566bdc-1dbc-4884-acd1-b5135f024e3c,293.0614270080592
33,24032ad7-727c-4e0b-b31a-3ef217d6ff06,5f172a40-e11c-49ac-bfab-503d4c3dfd60,123.43419299367578
34,1362ef4d-b89f-4a63-a62f-bc205775ea42,a32288d7-ef50-4eb9-9c4a-36714d93317d,89.19921524318474
35,59a45e3d-dab5-4b03-8698-54d1d5377857,a32288d7-ef50-4eb9-9c4a-36714d93317d,368.7817782917155
36,6e61a635-ffeb-482c-a9f7-e6d474d148fe,5f172a40-e11c-49ac-bfab-503d4c3dfd60,359.4690529099828
37,090822ce-17a5-4c2f-b70d-b5314393c97f,e0aa58ac-4521-4dee-bd73-e417bd1ee879,223.81297996318264
38,2bfe22bb-00bd-48b0-ae8f-56c08ba1684a,c50582d1-ef45-4de3-8f13-3ccb9d5242c4,69.11765331664553
39,791f57b2-b7df-49be-86a0-3cb93602f186,05566bdc-1dbc-4884-acd1-b5135f024e3c,186.37931752208988
40,032edda1-e82a-4d74-878f-a2e303cc82b6,c50582d1-ef45-4de3-8f13-3ccb9d5242c4,431.7154734312867
41,a9e6cea7-abff-4149-8e15-69080b0bf721,ac4f5993-606e-4af0-87f3-01d8e5a589ce,120.79010721081424
42,13736dd9-41fe-4343-895b-4102dd986ae8,f9af6706-c53d-46b5-93b5-b18a11189920,258.4231026824034
43,c7e25f37-076f-404f-a5e1-3dea0ecbac9c,a32288d7-ef50-4eb9-9c4a-36714d93317d,402.1256022687439
44,801195ee-54f2-4d09-a881-144b558497d1,05566bdc-1dbc-4884-acd1-b5135f024e3c,382.87334720505163
45,473bc300-7505-48ef-a36f-4bcbeaa8dee3,f9af6706-c53d-46b5-93b5-b18a11189920,73.27004845091888
46,3d652032-a425-4e5b-87fa-276010853b82,429927a3-eb2b-4d15-a78a-4b1e228d6a76,242.86004199950224
47,66c32b08-9410-4e63-8c57-41f9567bfe9d,cfe9606a-c751-486e-a80a-0216d21c7497,148.32481248934718
48,63edb610-0e0b-4a34-a4bf-6378fd2df6c1,f9af6706-c53d-46b5-93b5-b18a11189920,221.71716216838064
49,84292094-66e8-4e0a-af05-6cee67270ad4,89cb0dc2-6ced-43c2-858b-eb83427a9cbd,134.52880732393342
50,01cc637a-40cd-42dd-af5d-f3109100c25b,5acb0111-d543-4842-9699-692f0f0e8020,98.8243391073272
51,ab98d590-1677-42e8-a8af-782682a0ab4c,683ec2ef-945f-4fca-a346-1e64556e616e,126.82369652395407
52,682f3afa-95d4-406d-a51e-0a9ff0ff09c6,5acb0111-d543-4842-9699-692f0f0e8020,320.53158970684933
53,244baad5-267c-4da8-9d9c-a8ddb35f120d,683ec2ef-945f-4fca-a346-1e64556e616e,262.070601174569
54,8cc9b43c-4116-410d-912b-f99718a17c14,89cb0dc2-6ced-43c2-858b-eb83427a9cbd,402.5745272617233
55,c7ba7bee-8923-4a15-8df3-07479173964d,574b3b3b-46f7-4c64-bcc5-f91bdb4adef7,213.50936747599624
56,dfff09c0-4d8a-48a5-8a24-8309aa56c014,1ba5e1c8-88eb-43cd-aaab-246429accdf9,306.44412214953644
57,f7d4537f-137b-4946-bee8-40c8ba32d120,db4aefc3-8cb6-4d80-9480-8261cc3717fe,138.97661673821247
58,8f4a44f0-f8d5-4352-b060-d3b051e69e39,05fd5d73-88fc-4407-8fe7-c24b47e1bd4f,92.58104557629494
59,62d62a83-5794-42ea-888e-5ea34b2007ea,9a57d87c-27b1-4c96-b5c4-3f73e2b6c398,72.80968342191855
60,c3c57bf4-fda0-4123-b8d1-8efe483573b7,30a62970-a405-482f-a077-de37057f9e5d,107.29864864013899
61,a6fd120b-83ea-4765-8e23-b86c60bfe809,a594622e-7b24-4575-b3ab-75401af45177,299.1997660426893
62,e094b9f5-97dd-4147-9801-4bab50743179,055b546f-0b51-4d8b-bbc2-b044c5ea91ee,358.73283931081636
63,49a6674e-03ed-4db8-b06f-29896203f45f,110a6568-b747-4e0c-9b01-66597a7073c3,112.32208153341888
64,497e3d61-564a-4363-8ed0-34eba533423c,a594622e-7b24-4575-b3ab-75401af45177,87.20808448762075
65,2c76a8f6-ab4d-48bc-a2a1-b0b4f40afdd0,dc013877-df8e-4fd0-89c3-d011530d75be,171.79420828421428
66,76358be7-10ce-44c2-a2d7-034856b5e721,4b385e2d-d573-40be-8530-9ef01538eeba,267.0973605260823
67,99ec620f-d0be-40cf-b0d3-e65ef1a43375,6c615df1-b8c1-46ab-858d-0ce6c25ca22b,112.98340586121486
68,71788577-73b7-4298-9f39-e3a77abdfd17,dc013877-df8e-4fd0-89c3-d011530d75be,132.90692231783865
69,39a65a91-b88e-4cca-87a6-2a396a115826,4b385e2d-d573-40be-8530-9ef01538eeba,187.27653350059637
70,78e4948c-146d-49cb-9781-12d4e218ff6b,4ddad6c6-8aa2-4c88-9e9c-b6235ddc8597,23.769728648009426
